filepath,source,label,emotion,intensity,screaming,split
Screaming\NotScreaming\h9IS3PQ4dmg_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\fZD_P27ebrg_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\wFnnq-DO5mw_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\Screaming\4ZVrM1WH7FY_out.wav,SCREAMING_DATASET,aggressive,,,True,train
Screaming\NotScreaming\5qi5sjbJM08_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\Screaming\LmDCHT1SqGE_out.wav,SCREAMING_DATASET,aggressive,,,True,train
Screaming\NotScreaming\5ciRkY7tF6s_out.wav,SCREAMING_DATASET,neutral,,,False,train
RAVDESS\03-01-03-01-02-01-19.wav,RAVDESS,neutral,happy,normal,,train
Screaming\NotScreaming\NvRB6Kwi2-c_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\H-rAKFGTd-U_out.wav,SCREAMING_DATASET,neutral,,,False,train
RAVDESS\03-01-05-02-02-01-24.wav,RAVDESS,aggressive,angry,strong,,train
Screaming\NotScreaming\fcpVyvn5vKk_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\uLETIQnJM44_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\8hE_fU9F8-s_out.wav,SCREAMING_DATASET,neutral,,,False,train
RAVDESS\03-01-05-02-02-02-09.wav,RAVDESS,aggressive,angry,strong,,train
Screaming\NotScreaming\p1-07VdP__Q_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\3Xoz87_SUdw_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\0KXc1iKGh7s_out.wav,SCREAMING_DATASET,neutral,,,False,train
RAVDESS\03-01-07-02-01-01-20.wav,RAVDESS,neutral,disgust,strong,,train
Screaming\Screaming\t6LXUmIj6dE_out.wav,SCREAMING_DATASET,aggressive,,,True,train
RAVDESS\03-01-05-01-02-01-04.wav,RAVDESS,aggressive,angry,normal,,train
RAVDESS\03-01-03-02-01-02-03.wav,RAVDESS,neutral,happy,strong,,train
Screaming\Screaming\J4f_cRMAZiU_out.wav,SCREAMING_DATASET,aggressive,,,True,train
Screaming\NotScreaming\fM0rQLtccSA_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\Screaming\8knK23pvkqs_out.wav,SCREAMING_DATASET,aggressive,,,True,train
Screaming\NotScreaming\p8JdHfqN4Sw_out.wav,SCREAMING_DATASET,neutral,,,False,train
RAVDESS\03-01-03-02-01-01-07.wav,RAVDESS,neutral,happy,strong,,train
RAVDESS\03-01-01-01-01-01-01.wav,RAVDESS,neutral,neutral,normal,,train
Screaming\Screaming\xxHffmisVZc_out.wav,SCREAMING_DATASET,aggressive,,,True,train
Screaming\NotScreaming\FmK_QqkLhiE_out.wav,SCREAMING_DATASET,neutral,,,False,train
RAVDESS\03-01-04-01-02-01-01.wav,RAVDESS,neutral,sad,normal,,train
Emotions\64992099ffab6240f9f3521f-sad.wav,EMOTIONS_DATASET,neutral,sad,,,train
Screaming\NotScreaming\04RDcHpgzTM_out.wav,SCREAMING_DATASET,neutral,,,False,train
RAVDESS\03-01-04-02-01-02-14.wav,RAVDESS,neutral,sad,strong,,train
RAVDESS\03-01-04-01-01-01-21.wav,RAVDESS,neutral,sad,normal,,train
Screaming\Screaming\j_Ppvr-yfzQ_out.wav,SCREAMING_DATASET,aggressive,,,True,train
RAVDESS\03-01-08-01-02-01-04.wav,RAVDESS,neutral,surprised,normal,,train
Screaming\NotScreaming\VcQsSCgypQU_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\bBGcQ2-W768_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\yg2lBioFnqs_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\tdTT6rmkk9M_out.wav,SCREAMING_DATASET,neutral,,,False,train
RAVDESS\03-01-04-01-02-02-23.wav,RAVDESS,neutral,sad,normal,,train
RAVDESS\03-01-07-02-02-02-02.wav,RAVDESS,neutral,disgust,strong,,train
Screaming\NotScreaming\IroOVamQZHQ_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\L3Xr_NVi7UM_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\Screaming\qMcoKipSRpg_out.wav,SCREAMING_DATASET,aggressive,,,True,train
Screaming\NotScreaming\cX1OaYkfJo0_out.wav,SCREAMING_DATASET,neutral,,,False,train
RAVDESS\03-01-02-01-01-02-19.wav,RAVDESS,neutral,calm,normal,,train
RAVDESS\03-01-07-02-01-02-22.wav,RAVDESS,neutral,disgust,strong,,train
Screaming\NotScreaming\RDJe0O26B4Q_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\-HnNrGtKXp4_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\rF-N3jUEwHw_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\Screaming\pvoyTODUvpw_out.wav,SCREAMING_DATASET,aggressive,,,True,train
RAVDESS\03-01-06-01-02-01-02.wav,RAVDESS,neutral,fearful,normal,,train
RAVDESS\03-01-04-01-01-02-07.wav,RAVDESS,neutral,sad,normal,,train
Screaming\Screaming\K6PAT-Twjwo_out.wav,SCREAMING_DATASET,aggressive,,,True,train
RAVDESS\03-01-05-01-02-02-22.wav,RAVDESS,aggressive,angry,normal,,train
Screaming\NotScreaming\buqbpBG0I0s_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\Screaming\jEY8EKuqbSM_out.wav,SCREAMING_DATASET,aggressive,,,True,train
Screaming\NotScreaming\rraQrgfzLx8_out.wav,SCREAMING_DATASET,neutral,,,False,train
RAVDESS\03-01-05-01-01-02-06.wav,RAVDESS,aggressive,angry,normal,,train
Screaming\NotScreaming\Uqj2GGPVo2E_out.wav,SCREAMING_DATASET,neutral,,,False,train
RAVDESS\03-01-04-01-02-02-24.wav,RAVDESS,neutral,sad,normal,,train
Screaming\NotScreaming\HJc-cKmD100_out.wav,SCREAMING_DATASET,neutral,,,False,train
RAVDESS\03-01-07-01-02-02-19.wav,RAVDESS,neutral,disgust,normal,,train
Screaming\NotScreaming\Zjcgd631S7k_out.wav,SCREAMING_DATASET,neutral,,,False,train
RAVDESS\03-01-08-02-02-01-04.wav,RAVDESS,neutral,surprised,strong,,train
RAVDESS\03-01-08-01-01-02-06.wav,RAVDESS,neutral,surprised,normal,,train
RAVDESS\03-01-03-02-02-01-24.wav,RAVDESS,neutral,happy,strong,,train
Screaming\NotScreaming\Ufw0P-xOrng_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\Screaming\p52_K2ToaP8_out.wav,SCREAMING_DATASET,aggressive,,,True,train
Screaming\NotScreaming\alMl2-3KfV8_out.wav,SCREAMING_DATASET,neutral,,,False,train
RAVDESS\03-01-03-02-02-02-06.wav,RAVDESS,neutral,happy,strong,,train
Screaming\NotScreaming\HdGE3gaIf4w_out.wav,SCREAMING_DATASET,neutral,,,False,train
RAVDESS\03-01-07-01-01-02-23.wav,RAVDESS,neutral,disgust,normal,,train
Screaming\Screaming\VuiibYy6z_k_out.wav,SCREAMING_DATASET,aggressive,,,True,train
Screaming\NotScreaming\xjqt3sDAGdg_out.wav,SCREAMING_DATASET,neutral,,,False,train
RAVDESS\03-01-02-01-01-02-09.wav,RAVDESS,neutral,calm,normal,,train
Screaming\Screaming\pBAmr-jjGWc_out.wav,SCREAMING_DATASET,aggressive,,,True,train
RAVDESS\03-01-02-01-02-02-16.wav,RAVDESS,neutral,calm,normal,,train
Screaming\NotScreaming\kMmjr8deHis_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\aszZlMhmhNw_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\NErZMRKGdqY_out.wav,SCREAMING_DATASET,neutral,,,False,train
RAVDESS\03-01-04-01-01-01-24.wav,RAVDESS,neutral,sad,normal,,train
RAVDESS\03-01-06-02-01-01-15.wav,RAVDESS,aggressive,fearful,strong,,train
Screaming\NotScreaming\H_Bcux0FRxM_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\Screaming\6HfwD2hpsFU_out.wav,SCREAMING_DATASET,aggressive,,,True,train
Screaming\NotScreaming\4uv9ZR06R4Y_out.wav,SCREAMING_DATASET,neutral,,,False,train
RAVDESS\03-01-08-01-01-02-04.wav,RAVDESS,neutral,surprised,normal,,train
Screaming\NotScreaming\QCbUlDMu7Hk_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\CYn0BPhowYs_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\9Nw0H-NeX-4_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\OL6-jYPRUQE_out.wav,SCREAMING_DATASET,neutral,,,False,train
RAVDESS\03-01-02-01-02-01-20.wav,RAVDESS,neutral,calm,normal,,train
RAVDESS\03-01-02-01-02-01-23.wav,RAVDESS,neutral,calm,normal,,train
Screaming\NotScreaming\tyAXjOihm6g_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\lPCl9s_Ea8A_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\Screaming\d8BX7Wvu_18_out.wav,SCREAMING_DATASET,aggressive,,,True,train
Screaming\Screaming\Hu18136at0Y_out.wav,SCREAMING_DATASET,aggressive,,,True,train
Screaming\NotScreaming\mdF8mqA6864_out.wav,SCREAMING_DATASET,neutral,,,False,train
RAVDESS\03-01-05-01-01-02-24.wav,RAVDESS,aggressive,angry,normal,,train
Screaming\NotScreaming\bKElFoe01aQ_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\EFlGHxV5WsY_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\_y07ENAx2_E_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\39MksqVeLdY_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\BYnYTgeM6Go_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\7YtKrL6ScXA_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\Screaming\zCf3WwpTZew_out.wav,SCREAMING_DATASET,aggressive,,,True,train
Screaming\NotScreaming\6H_nZPUGf8o_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\Screaming\f7GdHA9E1hc_out.wav,SCREAMING_DATASET,aggressive,,,True,train
Screaming\Screaming\6S6kil3vpk8_out.wav,SCREAMING_DATASET,aggressive,,,True,train
Screaming\NotScreaming\HCCGZh-TxK0_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\tfkEhaE_j8M_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\j8rYqLVl748_out.wav,SCREAMING_DATASET,neutral,,,False,train
RAVDESS\03-01-08-02-02-02-17.wav,RAVDESS,neutral,surprised,strong,,train
Screaming\NotScreaming\I81Km1IjfWk_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\rBwP5hxCAkI_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\eLujcqHJGJ8_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\Screaming\ntQq29gGRZM_out.wav,SCREAMING_DATASET,aggressive,,,True,train
RAVDESS\03-01-08-02-01-01-22.wav,RAVDESS,neutral,surprised,strong,,train
RAVDESS\03-01-03-01-01-02-18.wav,RAVDESS,neutral,happy,normal,,train
RAVDESS\03-01-06-01-01-01-05.wav,RAVDESS,neutral,fearful,normal,,train
Screaming\NotScreaming\qr7Z_1WM8pg_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\Bh7cR2Tqc4g_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\KhCQ8zH8yKU_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\nW6Naj6eeI4_out.wav,SCREAMING_DATASET,neutral,,,False,train
Emotions\64992143ffab6240f9f3787a-surprised.wav,EMOTIONS_DATASET,neutral,surprised,,,train
Screaming\Screaming\rMAvJseEE0I_out.wav,SCREAMING_DATASET,aggressive,,,True,train
Screaming\Screaming\f3ZutqBqIxo_out.wav,SCREAMING_DATASET,aggressive,,,True,train
RAVDESS\03-01-05-01-02-02-14.wav,RAVDESS,aggressive,angry,normal,,train
Screaming\NotScreaming\4kZ0EZg5JRU_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\CU_l9xDeKsg_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\Screaming\CUImTjOytBY_out.wav,SCREAMING_DATASET,aggressive,,,True,train
RAVDESS\03-01-01-01-01-02-05.wav,RAVDESS,neutral,neutral,normal,,train
Screaming\NotScreaming\D5bKWR8nr4Y_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\m4Mo4aXY0w4_out.wav,SCREAMING_DATASET,neutral,,,False,train
RAVDESS\03-01-06-01-01-01-23.wav,RAVDESS,neutral,fearful,normal,,train
RAVDESS\03-01-07-01-01-02-19.wav,RAVDESS,neutral,disgust,normal,,train
Screaming\Screaming\ZlOXIgq3_sc_out.wav,SCREAMING_DATASET,aggressive,,,True,train
RAVDESS\03-01-06-02-02-01-06.wav,RAVDESS,aggressive,fearful,strong,,train
RAVDESS\03-01-03-01-02-01-21.wav,RAVDESS,neutral,happy,normal,,train
RAVDESS\03-01-05-01-01-01-04.wav,RAVDESS,aggressive,angry,normal,,train
RAVDESS\03-01-02-02-02-01-20.wav,RAVDESS,neutral,calm,strong,,train
RAVDESS\03-01-07-01-01-01-05.wav,RAVDESS,neutral,disgust,normal,,train
Screaming\NotScreaming\94Y_QnedxB8_out.wav,SCREAMING_DATASET,neutral,,,False,train
RAVDESS\03-01-06-01-02-01-16.wav,RAVDESS,neutral,fearful,normal,,train
RAVDESS\03-01-04-02-02-01-15.wav,RAVDESS,neutral,sad,strong,,train
Screaming\Screaming\9Rw6ubVIKpE_out.wav,SCREAMING_DATASET,aggressive,,,True,train
Screaming\NotScreaming\eRale39Z2Wg_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\IClVU7q66Cs_out.wav,SCREAMING_DATASET,neutral,,,False,train
RAVDESS\03-01-02-01-02-01-03.wav,RAVDESS,neutral,calm,normal,,train
Screaming\NotScreaming\FPRRNfbcULA_out.wav,SCREAMING_DATASET,neutral,,,False,train
RAVDESS\03-01-05-02-01-02-03.wav,RAVDESS,aggressive,angry,strong,,train
Screaming\NotScreaming\JL58_-562kk_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\BIV3t1tHTT4_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\vpcEBryyej4_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\MGvjQbBNEE0_out.wav,SCREAMING_DATASET,neutral,,,False,train
RAVDESS\03-01-07-01-02-02-10.wav,RAVDESS,neutral,disgust,normal,,train
Screaming\NotScreaming\We3IVaAjo2w_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\nM2ZcgMqhQc_out.wav,SCREAMING_DATASET,neutral,,,False,train
RAVDESS\03-01-07-01-01-01-24.wav,RAVDESS,neutral,disgust,normal,,train
Screaming\Screaming\yXm4Yc_H6eg_out.wav,SCREAMING_DATASET,aggressive,,,True,train
Screaming\NotScreaming\VP1cB_AVu6c_out.wav,SCREAMING_DATASET,neutral,,,False,train
RAVDESS\03-01-06-02-01-01-22.wav,RAVDESS,aggressive,fearful,strong,,train
RAVDESS\03-01-02-02-01-02-01.wav,RAVDESS,neutral,calm,strong,,train
Screaming\NotScreaming\OMMQqkwvNx8_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\LMC-xXt6A1g_out.wav,SCREAMING_DATASET,neutral,,,False,train
RAVDESS\03-01-08-02-02-02-07.wav,RAVDESS,neutral,surprised,strong,,train
Screaming\Screaming\5bqVGgtJHBE_out.wav,SCREAMING_DATASET,aggressive,,,True,train
Screaming\Screaming\WtXoy0zuaR0_out.wav,SCREAMING_DATASET,aggressive,,,True,train
Screaming\NotScreaming\ithYB82y0Sk_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\fWTrDugFpko_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\30tNWUyJCog_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\Screaming\d7j7lYqobpw_out.wav,SCREAMING_DATASET,aggressive,,,True,train
RAVDESS\03-01-01-01-02-02-15.wav,RAVDESS,neutral,neutral,normal,,train
RAVDESS\03-01-02-01-02-02-08.wav,RAVDESS,neutral,calm,normal,,train
Screaming\NotScreaming\FY8bZRm_QiE_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\KurvLmoKCog_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\bcUe0dvaCMs_out.wav,SCREAMING_DATASET,neutral,,,False,train
RAVDESS\03-01-06-01-01-02-23.wav,RAVDESS,neutral,fearful,normal,,train
Screaming\NotScreaming\pLhau0UNNoM_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\KRrxM24OyPg_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\hwe6y-jSqdQ_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\i6MdAfHfo64_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\UPCGOHjBuNU_out.wav,SCREAMING_DATASET,neutral,,,False,train
Emotions\64991c3e63d8b20f56d0eeba-sad.wav,EMOTIONS_DATASET,neutral,sad,,,train
RAVDESS\03-01-05-02-01-01-22.wav,RAVDESS,aggressive,angry,strong,,train
RAVDESS\03-01-05-02-01-02-24.wav,RAVDESS,aggressive,angry,strong,,train
Screaming\NotScreaming\J5MslZSjCuk_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\Screaming\pbfnndv19Vg_out.wav,SCREAMING_DATASET,aggressive,,,True,train
Screaming\NotScreaming\oIQqhb6BmMo_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\Screaming\BXLozSd9QYQ_out.wav,SCREAMING_DATASET,aggressive,,,True,train
Screaming\NotScreaming\sYJiHxmQWjo_out.wav,SCREAMING_DATASET,neutral,,,False,train
RAVDESS\03-01-08-02-01-02-08.wav,RAVDESS,neutral,surprised,strong,,train
RAVDESS\03-01-06-01-02-02-14.wav,RAVDESS,neutral,fearful,normal,,train
Screaming\NotScreaming\sL11iroEgfo_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\QDvCzD1yP1o_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\9Bg7XK1Uoyw_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\UbiVRAl9pLo_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\Screaming\FuIU4qtoKfw_out.wav,SCREAMING_DATASET,aggressive,,,True,train
RAVDESS\03-01-07-02-02-01-11.wav,RAVDESS,neutral,disgust,strong,,train
RAVDESS\03-01-03-02-02-01-07.wav,RAVDESS,neutral,happy,strong,,train
RAVDESS\03-01-05-02-01-02-16.wav,RAVDESS,aggressive,angry,strong,,train
Screaming\Screaming\TO_AMuDDLmk_out.wav,SCREAMING_DATASET,aggressive,,,True,train
RAVDESS\03-01-08-01-01-02-14.wav,RAVDESS,neutral,surprised,normal,,train
Screaming\Screaming\nLS9-JaS5yk_out.wav,SCREAMING_DATASET,aggressive,,,True,train
Screaming\NotScreaming\c9_MK8mMnO8_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\lVHopwH5tSE_out.wav,SCREAMING_DATASET,neutral,,,False,train
RAVDESS\03-01-08-01-01-02-10.wav,RAVDESS,neutral,surprised,normal,,train
Screaming\NotScreaming\je1amtXOKF4_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\EJucDkHyC_U_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\b8aC8b8iJIY_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\xwgQkNs904Q_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\Screaming\J94JtppGqTk_out.wav,SCREAMING_DATASET,aggressive,,,True,train
RAVDESS\03-01-03-01-01-01-04.wav,RAVDESS,neutral,happy,normal,,train
Screaming\NotScreaming\bSTxg43_wBM_out.wav,SCREAMING_DATASET,neutral,,,False,train
RAVDESS\03-01-02-02-02-01-21.wav,RAVDESS,neutral,calm,strong,,train
RAVDESS\03-01-05-01-01-01-08.wav,RAVDESS,aggressive,angry,normal,,train
Screaming\Screaming\-3bGlOhRkAo_out.wav,SCREAMING_DATASET,aggressive,,,True,train
Screaming\NotScreaming\dlpHYGmA4sM_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\YvYljb3ox7w_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\2zcTgyGpens_out.wav,SCREAMING_DATASET,neutral,,,False,train
RAVDESS\03-01-07-02-01-02-03.wav,RAVDESS,neutral,disgust,strong,,train
Screaming\NotScreaming\0E8p38QTjgI_out.wav,SCREAMING_DATASET,neutral,,,False,train
RAVDESS\03-01-07-01-01-02-09.wav,RAVDESS,neutral,disgust,normal,,train
RAVDESS\03-01-04-02-02-02-14.wav,RAVDESS,neutral,sad,strong,,train
Screaming\NotScreaming\08U71rh7cDw_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\Screaming\cNv_MciBjzI_out.wav,SCREAMING_DATASET,aggressive,,,True,train
Screaming\NotScreaming\Le4aGNS8e0c_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\Screaming\54MkoyLle2Q_out.wav,SCREAMING_DATASET,aggressive,,,True,train
RAVDESS\03-01-05-02-01-02-10.wav,RAVDESS,aggressive,angry,strong,,train
Screaming\NotScreaming\ElXm1O5xroY_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\UkqayNnk00w_out.wav,SCREAMING_DATASET,neutral,,,False,train
RAVDESS\03-01-03-02-01-02-07.wav,RAVDESS,neutral,happy,strong,,train
RAVDESS\03-01-06-01-02-01-14.wav,RAVDESS,neutral,fearful,normal,,train
RAVDESS\03-01-08-01-02-01-10.wav,RAVDESS,neutral,surprised,normal,,train
Screaming\NotScreaming\cKBekkF-cdo_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\Oj9nNSem1-A_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\OYKSdlwrnAE_out.wav,SCREAMING_DATASET,neutral,,,False,train
RAVDESS\03-01-04-01-02-02-04.wav,RAVDESS,neutral,sad,normal,,train
Screaming\NotScreaming\2lBZ6yPW9WU_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\PqrVQCdgR94_out.wav,SCREAMING_DATASET,neutral,,,False,train
Screaming\NotScreaming\e85fHDAjlEA_out.wav,SCREAMING_DATASET,neutral,,,False,train
RAVDESS\03-01-02-01-01-01-10.wav,RAVDESS,neutral,calm,normal,,train
Screaming\Screaming\7vgdo_d23XI_out.wav,SCREAMING_DATASET,aggressive,,,True,train
Screaming\NotScreaming\EWiUOmNW3SM_out.wav,SCREAMING_DATASET,neutral,,,False,train
